"DEP","COM","code_iris","REG","LIBCOM","LIBIRIS","num","P14_POP","NOM_COM","lon","lat","Geo.Point"
"75","75105","751051802","11","Paris 5e Arrondissement","Jardin des Plantes 2",2192,2452,"Paris 5e Arrondissement","48.8382860308"," 2.35392313736","48.8382860308, 2.35392313736"
"75","75105","751051803","11","Paris 5e Arrondissement","Jardin des Plantes 3",1918,2172,"Paris 5e Arrondissement","48.8390169103"," 2.35047878093","48.8390169103, 2.35047878093"
"75","75105","751051804","11","Paris 5e Arrondissement","Jardin des Plantes 4",4076,2181,"Paris 5e Arrondissement","48.8398184359"," 2.3536466093","48.8398184359, 2.3536466093"
"75","75105","751051805","11","Paris 5e Arrondissement","Jardin des Plantes 5",1680,3259,"Paris 5e Arrondissement","48.8412616217"," 2.35985013604","48.8412616217, 2.35985013604"
"75","75105","751051806","11","Paris 5e Arrondissement","Jardin des Plantes 6",896,2000,"Paris 5e Arrondissement","48.8412946639"," 2.35352554199","48.8412946639, 2.35352554199"
"75","75105","751051807","11","Paris 5e Arrondissement","Jardin des Plantes 7",5152,2260,"Paris 5e Arrondissement","48.8427047394"," 2.35087281456","48.8427047394, 2.35087281456"
"75","75105","751051808","11","Paris 5e Arrondissement","Jardin des Plantes 8",2112,1907,"Paris 5e Arrondissement","48.8426672884"," 2.35396705991","48.8426672884, 2.35396705991"
"75","75105","751051809","11","Paris 5e Arrondissement","Jardin des Plantes",5878,0,"Paris 5e Arrondissement","48.8439261671"," 2.35961405702","48.8439261671, 2.35961405702"
"75","75105","751051899","11","Paris 5e Arrondissement","Seine et berges 2",140,0,"Paris 5e Arrondissement","48.8459361244"," 2.36344508788","48.8459361244, 2.36344508788"
"75","75105","751051901","11","Paris 5e Arrondissement","Val de Grace 1",1559,2883,"Paris 5e Arrondissement","48.8384816737"," 2.34744474542","48.8384816737, 2.34744474542"
"75","75105","751051902","11","Paris 5e Arrondissement","Val de Grace 2",1591,1932,"Paris 5e Arrondissement","48.8396602746"," 2.34304112848","48.8396602746, 2.34304112848"
"75","75105","751051903","11","Paris 5e Arrondissement","Val de Grace 3",1348,2538,"Paris 5e Arrondissement","48.8402969717"," 2.33871084159","48.8402969717, 2.33871084159"
"75","75105","751051904","11","Paris 5e Arrondissement","Val de Grace 4",881,1949,"Paris 5e Arrondissement","48.8424430011"," 2.33981024023","48.8424430011, 2.33981024023"
"75","75105","751051905","11","Paris 5e Arrondissement","Val de Grace 5",3613,2807,"Paris 5e Arrondissement","48.845233527"," 2.34101476681","48.845233527, 2.34101476681"
"75","75105","751051906","11","Paris 5e Arrondissement","Val de Grace 6",1709,2607,"Paris 5e Arrondissement","48.8436260013"," 2.34324425413","48.8436260013, 2.34324425413"
"75","75105","751051907","11","Paris 5e Arrondissement","Val de Grace 7",1818,2450,"Paris 5e Arrondissement","48.8426490983"," 2.3461767286","48.8426490983, 2.3461767286"
"75","75105","751051908","11","Paris 5e Arrondissement","Val de Grace 8",6133,2981,"Paris 5e Arrondissement","48.8413655377"," 2.3486246602","48.8413655377, 2.3486246602"
"75","75105","751052001","11","Paris 5e Arrondissement","Sorbonne 1",7311,2618,"Paris 5e Arrondissement","48.8464226001"," 2.34718446905","48.8464226001, 2.34718446905"
"75","75105","751052002","11","Paris 5e Arrondissement","Sorbonne 2",5386,1676,"Paris 5e Arrondissement","48.847730771"," 2.34283547286","48.847730771, 2.34283547286"
"75","75105","751052003","11","Paris 5e Arrondissement","Sorbonne 3",9716,1864,"Paris 5e Arrondissement","48.8516649457"," 2.34461403961","48.8516649457, 2.34461403961"
"75","75105","751052004","11","Paris 5e Arrondissement","Sorbonne 4",8497,3122,"Paris 5e Arrondissement","48.8506929498"," 2.34734935066","48.8506929498, 2.34734935066"
"75","75105","751052005","11","Paris 5e Arrondissement","Sorbonne 5",3496,590,"Paris 5e Arrondissement","48.8482965469"," 2.34477425974","48.8482965469, 2.34477425974"
"75","75105","751052099","11","Paris 5e Arrondissement","Seine et berges 3",925,0,"Paris 5e Arrondissement","48.8528003895"," 2.34759347021","48.8528003895, 2.34759347021"
"75","75106","751062101","11","Paris 6e Arrondissement","Monnaie 1",7554,1848,"Paris 6e Arrondissement","48.852399559"," 2.34063456852","48.852399559, 2.34063456852"
"75","75106","751062102","11","Paris 6e Arrondissement","Monnaie 2",8744,1935,"Paris 6e Arrondissement","48.8557501526"," 2.33810360633","48.8557501526, 2.33810360633"
"75","75106","751062103","11","Paris 6e Arrondissement","Monnaie 3",7269,1796,"Paris 6e Arrondissement","48.8541307814"," 2.34131755672","48.8541307814, 2.34131755672"
"75","75106","751062199","11","Paris 6e Arrondissement","Seine et Berges 1",4806,0,"Paris 6e Arrondissement","48.8564166323"," 2.34005919964","48.8564166323, 2.34005919964"
"75","75106","751062201","11","Paris 6e Arrondissement","Odeon 1",1558,1738,"Paris 6e Arrondissement","48.8437727567"," 2.33537232436","48.8437727567, 2.33537232436"
"75","75106","751062202","11","Paris 6e Arrondissement","Odeon 2",2485,1632,"Paris 6e Arrondissement","48.8501154915"," 2.33437474156","48.8501154915, 2.33437474156"
"75","75106","751062203","11","Paris 6e Arrondissement","Odeon 3",8445,2263,"Paris 6e Arrondissement","48.8520657736"," 2.33525292699","48.8520657736, 2.33525292699"
"75","75106","751062204","11","Paris 6e Arrondissement","Odeon 4",6339,2753,"Paris 6e Arrondissement","48.8500148578"," 2.33969314753","48.8500148578, 2.33969314753"
"75","75106","751062205","11","Paris 6e Arrondissement","Jardin du Luxembourg",14016,0,"Paris 6e Arrondissement","48.8466767187"," 2.33625412962","48.8466767187, 2.33625412962"
"75","75106","751062301","11","Paris 6e Arrondissement","Notre Dame des Champs 1",1980,1443,"Paris 6e Arrondissement","48.8412064816"," 2.33396505014","48.8412064816, 2.33396505014"
"75","75106","751062302","11","Paris 6e Arrondissement","Notre Dame des Champs 2",1129,2083,"Paris 6e Arrondissement","48.8430684732"," 2.33277826953","48.8430684732, 2.33277826953"
"75","75106","751062303","11","Paris 6e Arrondissement","Notre Dame des Champs 3",6259,2024,"Paris 6e Arrondissement","48.8443294305"," 2.33034085621","48.8443294305, 2.33034085621"
"75","75106","751062304","11","Paris 6e Arrondissement","Notre Dame des Champs 4",1376,1922,"Paris 6e Arrondissement","48.8470285317"," 2.3300198353","48.8470285317, 2.3300198353"
"75","75106","751062305","11","Paris 6e Arrondissement","Notre Dame des Champs 5",3620,2855,"Paris 6e Arrondissement","48.8446079142"," 2.32719762209","48.8446079142, 2.32719762209"
